Links,Region,DateNumber,Date
http://www.vgchartz.com/weekly/43464/Global/,Global,43464,2018-12-30
http://www.vgchartz.com/weekly/43464/USA/,USA,43464,2018-12-30
http://www.vgchartz.com/weekly/43464/Europe/,Europe,43464,2018-12-30
http://www.vgchartz.com/weekly/43464/UK/,UK,43464,2018-12-30
http://www.vgchartz.com/weekly/43464/Germany/,Germany,43464,2018-12-30
http://www.vgchartz.com/weekly/43464/France/,France,43464,2018-12-30
http://www.vgchartz.com/weekly/43464/Japan/,Japan,43464,2018-12-30
http://www.vgchartz.com/weekly/43457/Global/,Global,43457,2018-12-23
http://www.vgchartz.com/weekly/43457/USA/,USA,43457,2018-12-23
http://www.vgchartz.com/weekly/43457/Europe/,Europe,43457,2018-12-23
http://www.vgchartz.com/weekly/43457/UK/,UK,43457,2018-12-23
http://www.vgchartz.com/weekly/43457/Germany/,Germany,43457,2018-12-23
http://www.vgchartz.com/weekly/43457/France/,France,43457,2018-12-23
http://www.vgchartz.com/weekly/43457/Japan/,Japan,43457,2018-12-23
http://www.vgchartz.com/weekly/43450/Global/,Global,43450,2018-12-16
http://www.vgchartz.com/weekly/43450/USA/,USA,43450,2018-12-16
http://www.vgchartz.com/weekly/43450/Europe/,Europe,43450,2018-12-16
http://www.vgchartz.com/weekly/43450/UK/,UK,43450,2018-12-16
http://www.vgchartz.com/weekly/43450/Germany/,Germany,43450,2018-12-16
http://www.vgchartz.com/weekly/43450/France/,France,43450,2018-12-16
http://www.vgchartz.com/weekly/43450/Japan/,Japan,43450,2018-12-16
http://www.vgchartz.com/weekly/43443/Global/,Global,43443,2018-12-09
http://www.vgchartz.com/weekly/43443/USA/,USA,43443,2018-12-09
http://www.vgchartz.com/weekly/43443/Europe/,Europe,43443,2018-12-09
http://www.vgchartz.com/weekly/43443/UK/,UK,43443,2018-12-09
http://www.vgchartz.com/weekly/43443/Germany/,Germany,43443,2018-12-09
http://www.vgchartz.com/weekly/43443/France/,France,43443,2018-12-09
http://www.vgchartz.com/weekly/43443/Japan/,Japan,43443,2018-12-09
http://www.vgchartz.com/weekly/43436/Global/,Global,43436,2018-12-02
http://www.vgchartz.com/weekly/43436/USA/,USA,43436,2018-12-02
http://www.vgchartz.com/weekly/43436/Europe/,Europe,43436,2018-12-02
http://www.vgchartz.com/weekly/43436/UK/,UK,43436,2018-12-02
http://www.vgchartz.com/weekly/43436/Germany/,Germany,43436,2018-12-02
http://www.vgchartz.com/weekly/43436/France/,France,43436,2018-12-02
http://www.vgchartz.com/weekly/43436/Japan/,Japan,43436,2018-12-02
http://www.vgchartz.com/weekly/43429/Global/,Global,43429,2018-11-25
http://www.vgchartz.com/weekly/43429/USA/,USA,43429,2018-11-25
http://www.vgchartz.com/weekly/43429/Europe/,Europe,43429,2018-11-25
http://www.vgchartz.com/weekly/43429/UK/,UK,43429,2018-11-25
http://www.vgchartz.com/weekly/43429/Germany/,Germany,43429,2018-11-25
http://www.vgchartz.com/weekly/43429/France/,France,43429,2018-11-25
http://www.vgchartz.com/weekly/43429/Japan/,Japan,43429,2018-11-25
http://www.vgchartz.com/weekly/43422/Global/,Global,43422,2018-11-18
http://www.vgchartz.com/weekly/43422/USA/,USA,43422,2018-11-18
http://www.vgchartz.com/weekly/43422/Europe/,Europe,43422,2018-11-18
http://www.vgchartz.com/weekly/43422/UK/,UK,43422,2018-11-18
http://www.vgchartz.com/weekly/43422/Germany/,Germany,43422,2018-11-18
http://www.vgchartz.com/weekly/43422/France/,France,43422,2018-11-18
http://www.vgchartz.com/weekly/43422/Japan/,Japan,43422,2018-11-18
http://www.vgchartz.com/weekly/43415/Global/,Global,43415,2018-11-11
http://www.vgchartz.com/weekly/43415/USA/,USA,43415,2018-11-11
http://www.vgchartz.com/weekly/43415/Europe/,Europe,43415,2018-11-11
http://www.vgchartz.com/weekly/43415/UK/,UK,43415,2018-11-11
http://www.vgchartz.com/weekly/43415/Germany/,Germany,43415,2018-11-11
http://www.vgchartz.com/weekly/43415/France/,France,43415,2018-11-11
http://www.vgchartz.com/weekly/43415/Japan/,Japan,43415,2018-11-11
http://www.vgchartz.com/weekly/43408/Global/,Global,43408,2018-11-04
http://www.vgchartz.com/weekly/43408/USA/,USA,43408,2018-11-04
http://www.vgchartz.com/weekly/43408/Europe/,Europe,43408,2018-11-04
http://www.vgchartz.com/weekly/43408/UK/,UK,43408,2018-11-04
http://www.vgchartz.com/weekly/43408/Germany/,Germany,43408,2018-11-04
http://www.vgchartz.com/weekly/43408/France/,France,43408,2018-11-04
http://www.vgchartz.com/weekly/43408/Japan/,Japan,43408,2018-11-04
http://www.vgchartz.com/weekly/43401/Global/,Global,43401,2018-10-28
http://www.vgchartz.com/weekly/43401/USA/,USA,43401,2018-10-28
http://www.vgchartz.com/weekly/43401/Europe/,Europe,43401,2018-10-28
http://www.vgchartz.com/weekly/43401/UK/,UK,43401,2018-10-28
http://www.vgchartz.com/weekly/43401/Germany/,Germany,43401,2018-10-28
http://www.vgchartz.com/weekly/43401/France/,France,43401,2018-10-28
http://www.vgchartz.com/weekly/43401/Japan/,Japan,43401,2018-10-28
http://www.vgchartz.com/weekly/43394/Global/,Global,43394,2018-10-21
http://www.vgchartz.com/weekly/43394/USA/,USA,43394,2018-10-21
http://www.vgchartz.com/weekly/43394/Europe/,Europe,43394,2018-10-21
http://www.vgchartz.com/weekly/43394/UK/,UK,43394,2018-10-21
http://www.vgchartz.com/weekly/43394/Germany/,Germany,43394,2018-10-21
http://www.vgchartz.com/weekly/43394/France/,France,43394,2018-10-21
http://www.vgchartz.com/weekly/43394/Japan/,Japan,43394,2018-10-21
http://www.vgchartz.com/weekly/43387/Global/,Global,43387,2018-10-14
http://www.vgchartz.com/weekly/43387/USA/,USA,43387,2018-10-14
http://www.vgchartz.com/weekly/43387/Europe/,Europe,43387,2018-10-14
http://www.vgchartz.com/weekly/43387/UK/,UK,43387,2018-10-14
http://www.vgchartz.com/weekly/43387/Germany/,Germany,43387,2018-10-14
http://www.vgchartz.com/weekly/43387/France/,France,43387,2018-10-14
http://www.vgchartz.com/weekly/43387/Japan/,Japan,43387,2018-10-14
http://www.vgchartz.com/weekly/43380/Global/,Global,43380,2018-10-07
http://www.vgchartz.com/weekly/43380/USA/,USA,43380,2018-10-07
http://www.vgchartz.com/weekly/43380/Europe/,Europe,43380,2018-10-07
http://www.vgchartz.com/weekly/43380/UK/,UK,43380,2018-10-07
http://www.vgchartz.com/weekly/43380/Germany/,Germany,43380,2018-10-07
http://www.vgchartz.com/weekly/43380/France/,France,43380,2018-10-07
http://www.vgchartz.com/weekly/43380/Japan/,Japan,43380,2018-10-07
http://www.vgchartz.com/weekly/43373/Global/,Global,43373,2018-09-30
http://www.vgchartz.com/weekly/43373/USA/,USA,43373,2018-09-30
http://www.vgchartz.com/weekly/43373/Europe/,Europe,43373,2018-09-30
http://www.vgchartz.com/weekly/43373/UK/,UK,43373,2018-09-30
http://www.vgchartz.com/weekly/43373/Germany/,Germany,43373,2018-09-30
http://www.vgchartz.com/weekly/43373/France/,France,43373,2018-09-30
http://www.vgchartz.com/weekly/43373/Japan/,Japan,43373,2018-09-30
http://www.vgchartz.com/weekly/43366/Global/,Global,43366,2018-09-23
http://www.vgchartz.com/weekly/43366/USA/,USA,43366,2018-09-23
http://www.vgchartz.com/weekly/43366/Europe/,Europe,43366,2018-09-23
http://www.vgchartz.com/weekly/43366/UK/,UK,43366,2018-09-23
http://www.vgchartz.com/weekly/43366/Germany/,Germany,43366,2018-09-23
http://www.vgchartz.com/weekly/43366/France/,France,43366,2018-09-23
http://www.vgchartz.com/weekly/43366/Japan/,Japan,43366,2018-09-23
http://www.vgchartz.com/weekly/43359/Global/,Global,43359,2018-09-16
http://www.vgchartz.com/weekly/43359/USA/,USA,43359,2018-09-16
http://www.vgchartz.com/weekly/43359/Europe/,Europe,43359,2018-09-16
http://www.vgchartz.com/weekly/43359/UK/,UK,43359,2018-09-16
http://www.vgchartz.com/weekly/43359/Germany/,Germany,43359,2018-09-16
http://www.vgchartz.com/weekly/43359/France/,France,43359,2018-09-16
http://www.vgchartz.com/weekly/43359/Japan/,Japan,43359,2018-09-16
http://www.vgchartz.com/weekly/43352/Global/,Global,43352,2018-09-09
http://www.vgchartz.com/weekly/43352/USA/,USA,43352,2018-09-09
http://www.vgchartz.com/weekly/43352/Europe/,Europe,43352,2018-09-09
http://www.vgchartz.com/weekly/43352/UK/,UK,43352,2018-09-09
http://www.vgchartz.com/weekly/43352/Germany/,Germany,43352,2018-09-09
http://www.vgchartz.com/weekly/43352/France/,France,43352,2018-09-09
http://www.vgchartz.com/weekly/43352/Japan/,Japan,43352,2018-09-09
http://www.vgchartz.com/weekly/43345/Global/,Global,43345,2018-09-02
http://www.vgchartz.com/weekly/43345/USA/,USA,43345,2018-09-02
http://www.vgchartz.com/weekly/43345/Europe/,Europe,43345,2018-09-02
http://www.vgchartz.com/weekly/43345/UK/,UK,43345,2018-09-02
http://www.vgchartz.com/weekly/43345/Germany/,Germany,43345,2018-09-02
